modelo,fabricacao,quantidade,quantidade_total
NXR 160 Bros ESDD FLEXone,2023,1,248
CG 160 FAN Flex,2022,1,227
CB 300F Twister Flex,2023,1,211
YBR 150 FACTOR ED,2023,1,168
YBR 150 FACTOR ED,2022,1,156
CG 160 FAN Flex,2021,1,146
NXR 160 Bros ESDD FLEXone,2022,1,139
NMAX 160,2021,1,133
CG 160 Start,2022,1,118
CB TWISTER 250cc,2022,1,98
YS 150 Fazer SED,2022,1,86
YBR 150 FACTOR ED,2021,1,85
FZ25 250 FAZER FLEX,2020,1,81
YBR 150 FACTOR ED,2020,1,77
ADV 150,2023,1,77
CB TWISTER 250cc,2019,1,73
CG 160 TITAN FLEXone,2021,1,72
ELITE 125,2022,1,71
CB TWISTER 250cc,2018,1,64
BIZ 125 Flexone,2020,1,58
CG 160 Start,2018,1,54
XTZ 250 LANDER 249cc,2019,1,53
NMAX 160,2017,1,52
NXR 160 Bros ESDD FLEXone,2015,1,51
YS 250 FAZER,2011,1,50
PCX 150,2022,1,50
FLUO 125 ABS,2023,1,49
PCX 150,2017,1,48
ELITE 125,2019,1,47
XTZ 150 CROSSER S FLEX,2022,1,46
XTZ 150 ED CROSSER,2014,1,46
NXR 160 Bros ESDD FLEXone,2016,1,45
CG 160 TITAN FLEXone,2019,1,44
CG 160 Start,2017,1,41
YS 250 FAZER,2012,1,40
BIZ 125 Flexone,2019,1,39
PCX 150,2018,1,38
HILUX SW4 SRX 4X4 2.8 TDI 16V,2021,1,36
YBR 150 FACTOR ED,2018,1,36
PCX 150,2015,1,33
FLUO 125 ABS,2022,1,31
YBR 150 FACTOR ED,2017,1,30
ARGO DRIVE 1.0 6V FLEX,2020,1,28
YS 250 FAZER,2014,1,28
CG 160 Start,2016,1,27
CG 150 FAN ESDi Flex,2011,1,27
NXR 160 Bros,2018,1,27
NEO Automatic 125cc,2022,1,27
CG 150 TITAN-KS,2006,1,26
NX-4 FALCON 400,2008,1,26
XTZ 250 TENERE,2018,1,25
Hilux CD SRV 4x4 2.8 TDI Diesel Aut.,2019,1,24
XTZ 250 TENERE,2016,1,24
CB 500F,2019,1,24
PCX 150,2014,1,24
CB 300R,2014,1,24
