modelo,fabricacao,quantidade
Palio Celebration 1.0 Fire Flex 8V 4p,2015,1
MT-09 TRACER 900 GT,2020,1
ECOSPORT FREESTYLE 1.6 16V FLE,2013,2
NMAX 160,2020,2
Fit CX 1.4 Flex 16V 5p Aut.,2013,1
ONIX HATCH Joy 1.0 8V Flex 5p Mec.,2018,3
Fiorino Furgão 1.5 mpi i.e,1994,1
PUNTO ATTRACTIVE 1.4 FLEX,2012,2
Palio Trofeo 1.0 Fire 2p,2005,1
COMPASS S 2.0 4x4 TB 16V Aut.,2019,1
24-250 E CONSTELLATION,2008,2
CG 150 FAN ESDi,2014,2
Xsara Picasso Exc. 2.0 16V Mec,2003,1
HB20 1.6,2014,1
UNO MILLE 1.0 FIRE FLEX,2011,1
24-250 E T WORKER 3-eixos,2005,1
KA 1.0 8V ST Flex,2012,1
S 10 PICK-UP LS 2.8 4X4 TDI D,2016,1
Strada Trekking 1.6 16V Flex CD,2014,1
19.320 CNC TT,2011,1
FOX BLUEMOTION 1.6 MI TOTAL FL,2012,1
C-180 1.6 TURBO 16V 156CV AUT.,2015,2
L-200 TRITON SAVANA 3.2 CD TBI,2013,1
IVECO-DAILY TRUCK CHASSI 70C17,2013,2
UNO VIVACE 1.0 EVO Fire Flex 8V 3p,2015,1
UNO MILLE WAY ECONOMY 1.0 FIRE,2010,1
L200 Triton S. HPE FTP 2.4 CD Dies. Aut.,2016,1
Palio EX 1.0 mpi Fire 8v 4p,2001,2
GOL TRENDLINE 1.6 T. FLEX 8V,2015,1
HB20 C. Style 1.0,2015,2
Fiorino Furg.1.3 Fire,2004,1
Hilux CD SRV 4x4 2.8 TDI Diesel Aut.,2019,1
ASX 2.0 16V 160cv Aut.,2012,2
NOVO GOL 1.0 MI TOTAL FLEX,2008,1
CRETA,2017,1
ETIOS XLS Sedan 1.5 Flex 16V 4p Mec.,2014,1
SAVEIRO ROBUST 1.6 TOTAL FLEX,2021,2
2008 GRIFFE 1.6 FLEX 16V 4P AU,2016,1
DOBLO ADVENTURE LOCKER 1.8 MPI,2010,1
Corsa Sed.Classic VHC  1.0,2000,1
24.280 CRM 6X2,2012,1
3008 GRIFFE 1.6 TB,2018,1
KICKS ADVANCE 1.6 16V FLEX AUT.,2022,1
NX 400i FALCON,2012,1
Gol CL  1.8,1995,1
Kwid Outsider 1.0 MT,2022,1
HB20 Comf. 1.0,2018,1
S 10 PICK-UP EXECUTIVE 2.8 CD,2009,1
VW/24.280 CRM 6X2 4P,2019,1
VOYAGE 1.0 8V 4P,2009,1
FLUENCE SEDAN PRIVILEGE 2.0 16,2015,1
HILUX CD SRV 4X4 2.8 TDI DIESE,2018,4
SAVEIRO 1.6 MI TOTAL FLEX CE,2011,1
NMAX 160,2017,1
PALIO ATTRACTIVE 1.0 EVO FIRE,2014,3
Sprinter 312 Furgão Longo T.Alto Diesel,2000,1
HR-V LX 1.8 FLEXONE 16V   AUT.,2016,1
207 SEDAN PASSION XR 1.4 FLEX,2013,1
C3 GLX 1.4 FLEX,2010,1
FIORINO FURGAO 1.5,2012,1
2500 LARAM. 6.7 NIGHT ED. TB C,2020,1
FH 13 440 4X2,2008,1
BRAVO SPORTING 1.8 FLEX 16V,2014,1
SANDERO EXPRESSION HI-POWER 1.,2016,4
PAJERO TR4 2.0 16V 4X2 FLEX NO,2012,1
TRACKER Midnight 1.4 Turbo Flex Aut.,2018,1
NXR 160 Bros ESDD FLEXone,2019,2
PALIO 1.0 FIRE,2008,1
LOGAN ZEN FLEX 1.0 12V 4P MEC.,2021,1
Fiorino Furg.1.3 Fire Flex,2008,1
FAT BOB FXFBS,2022,1
RENEGADE,2015,1
YBR 150 FACTOR ED,2022,1
ONIX HATCH ACTIV 1.4 8V FLEX 4,2017,1
DAILY CHASSI 35S14 2p (diesel),2011,2
FH 13 540 6X4 (E5),2018,1
TORO FREEDOM 1.3 T270 4X2 FLEX,2021,1
S10 PIC-UP H.COUNTRY 2.8 4X4 C,2021,1
XF FTT530 6X4 SPACE CAB (DIE)(,2021,1
TAOS COMFORTLINE 1.4 250 TSI F,2021,1
SANDERO AUTH. S.ESPECIAL FLEX,2017,1
Kicks 1.6 Sense CVT,2022,1
RANGER XLT 3.0 PSE 4X4 CD TB D,2011,1
CR-V EXL 2.0 Flexone  Aut.,2014,1
HILUX CD SRX 4X4 2.8 TDI 16V D,2023,1
Fox 1.6 Mi I MOTION Total Flex 8V 5p,2012,1
COMPASS LONGITUDE 2.0 4X4 DIES,2018,1
METEOR 28.460 6X2 2P (DIESEL)(,2022,1
VOYAGE HIGHLINE 1.6 MI TOTAL F,2017,1
C4 CACTUS FEEL 1.6 16V FLEX AU,2019,1
8.120,2001,1
TECTOR 240 E 25 S 6X2,2010,1
METEOR 29.520 6X4 2P (DIESEL)(,2022,1
ECOSPORT SE DIRECT 1.5 FLEX 4P,2020,1
Range R.EVOQUE Dynamic 2.0 Aut 5p,2012,1
XTZ 250X,2008,2
SAVEIRO CITY 1.6 MI TOTAL FLEX,2005,1
FIESTA SEDAN 1.6 FLEX,2009,2
VERSYS-X 300 TOURER,2021,1
UNO MILLE 1.0 FIRE FLEX,2005,1
SANDERO STEP. EASY R R.CURL H.,2016,1
2500 LARAMIE SLT 6.7 TDI CD 4X,2017,1
A7 Sportback 3.0 TFSI Quattro S Tronic,2011,1
Fit EX 1.5 Aut,2015,1
Corsa Milenium  1.0 MPF,2001,1
ETIOS XLS SD 1.5,2015,1
F-4000 4X4 (DIESEL)(E5),2019,1
CG 160 FAN Flex,2018,3
ECOSPORT XLT FREESTYLE 1.6 FLE,2010,2
ONIX SED. PLUS PREM. 1.0 12V T,2020,1
CLASSIC LIFE 1.0 VHC E FLEXPOW,2010,2
ARGO 1.0 6V FLEX.,2022,1
RENEGADE SPORT 1.8 4X2 FLEX 16,2019,1
GRAND SIENA ESSENCE 1.6 16V FL,2012,1
ASTRA SEDAN 2.0 MPFI,2003,1
TIGUAN 2.0 TSI 16V TIPTRONIC,2013,1
8.120 EURO3,2011,1
SX4 S-CROSS GLX 1.6 16V AUT.,2015,1
F 350,2010,1
Classic 1.0 VHC FlexPower 4p,2009,1
JOY HATCH1.0 8V FLEX 5P MEC.,2020,1
T-CROSS 1.0 TSI FLEX 12V 5P AU,2020,1
NOVO GOL 1.6 TOTAL FLEX,2013,1
NOVO GOL 1.6 TOTAL FLEX,2011,1
8.120 EURO3,2005,1
MARCH SV 1.6 16V FLEX,2016,1
COMPASS LONGITUDE 2.0 4X2 FLEX,2019,1
LINEA ESSENCE DUALOGIC 1.8 16V,2013,1
KWID OUTSIDER 1.0 Flex 12V 5p,2019,1
ONIX HATCH LT 1.0 12V FLEX 5P,2023,1
Sprinter 311 Furgão Longo Teto alto Dies,2014,1
Gol Trendline 1.6 T. Flex 8V 5p,2015,1
DOBLO ADVENTURE ER 1.8 MPI,2005,1
CRUZE,2014,1
CB 300R,2014,1
RANDON SR CA BTD3E,2021,2
Palio Weekend ELX 1.5 mpi 4p,2000,1
Kangoo Express  1.6 16v,2002,1
SANDERO EXPRESSION 1.0 16V HI-,2013,2
207 XR 1.4 Flex 8V 5p,2011,1
HB20 SEDAN 1.6 COMFORT PLUS,2013,1
FIT PERSONAL 1.5 FLEXONE 16V,2020,1
HR 2.5 TCI HD RS,2015,2
Astra Sedan Expres. GLS 2.0 8v 4p,2002,1
CELTA SPIRIT 1.0 MPFI FLEXPOWE,2011,4
C4 CACTUS FEEL A,2018,1
ONIX,2018,1
TAOS HIGHLINE 1.4 250 TSI FLEX,2021,1
PALIO WEEKEND ATTRACTION,2011,1
FIT EX 1.5 16V,2012,2
BIZ 125 Flexone,2020,1
HB20 SEDAN 1.6 COMFORT STYLE,2015,1
CROSSFOX 1.6 MI TOTAL FLEX,2011,2
UNO MILLE 1.0 FIRE,2005,2
CRETA PULSE 1.6 16V FLEX AUT.,2018,1
Vectra Challenge 2.2 MPFI 16V,2001,1
-BENZ/ATEGO 1719,2014,1
ATEGO 2429 6X2 (E5),2012,2
FOX CONNECT 16 FLEX 8V 5P,2020,1
CG 160 Start,2017,1
PALIO CELEBRATION 1.0 FIRE FLE,2014,2
Partner Furgão 1.6 16V Flex,2007,1
UNO VIVACE 1.0 EVO FIRE FLEX,2012,3
VIRTUS COMFORTLINE AD,2018,1
HILUX SRV D4-D 3.0 CD 4X4 TB D,2015,1
Strada Trekking 1.8 mpi Flex 8V CE,2005,1
FIORINO FURGAO 1.5,2010,1
FOX 1.0 MI TOTAL FLEX,2011,1
NXR 160 Bros ESDD FLEXone,2016,1
CLIO HATCH AUTHENTIQUE 1.0,2005,1
MONTANA CONQUEST 1.8 FLEXPOWER,2005,1
COROLLA XEI 2.0 FLEX,2021,3
CLIO SEDAN AUTHENTIQUE 1.0 16V,2007,1
FREEMONT PRECISION DUALOGIC 2.,2012,1
MERIVA JOY 1.8 FLEXPOWER,2004,1
Montana,2017,2
NOVO GOL CITY 1.6 TOTAL FLEX,2012,1
L-200 TRITON HPE 3.2 CD TB IC,2012,1
Renegade1.8 4x2 Flex 16V Mec.,2018,1
ER-6n 650cc,2010,1
8.150,2000,1
ECOSPORT TITANIUM 2.0 16V FLEX,2018,1
MOBI LIKE 1.0 FIRE FLEX 4P.,2018,1
AMAROK SE CD 2.0 4X4 16V TDI,2016,1
C3 Excl. Solaris 1.6 Flex 16V Mec,2004,1
Clio Hi-Flex 1.0 16V 3p,2010,1
STRALIS HD 490 - S38T,2008,1
Corsa Wind 1.6 MPFi 4p,2000,1
HILUX 2.8 CD 4X4 D,2017,1
Clio Sed. Privilège Hi-Flex 1.6 16V 4p,2005,1
BIZ,2019,1
CIVIC SEDAN LXR 2.0 FLEXONE,2014,1
YS 250 FAZER,2012,1
GOL 1.0 FLEX 12V 5P,2022,2
S 10 PICK-UP LTZ 2.8 CD 4X4 TD,2021,1
FH 13 460 GLOBETROTTER 6X4 (E5,2014,1
CRONOS DRIVE 1.3,2018,1
YARIS XLS SEDAN 1.5 FLEX 16V 4,2022,1
STRADA ENDURANCE 1.4 FLEX 8V C,2022,2
ONIX HATCH LTZ 1.4 8V FLEXPOWE,2019,1
TIGUAN ALLSPACE COMF 250 TSI 1,2019,2
KICKS S 1.6 16V FLEX 5P AUT.,2020,1
RANGER,2019,1
Q3 PRESTIGE 1.4 TFSI FLEX S-TR,2019,1
COROLLA ALTIS 2.0 FLEX,2015,1
FIORINO,2020,1
Astra 2.0 8V Hatchback 5p Aut,2002,1
ECOSPORT STORM 2.0 4WD 16V FLE,2018,1
New Fiesta 1.6 SE,2014,1
PCX 150,2018,1
STRADA WORKING 1.4 MPI FIRE FL,2010,1
HILUX 2.8 CD 4X4 D,2020,1
PALIO 1.0 FIRE FLEX,2014,1
SANDERO Expression Hi-Power 1.0 16V 5p,2016,1
UNO ATTRACTIVE 1.0 EVO FIRE FL,2021,3
FIESTA SE 1.6 16V FLEX,2018,1
HB20 COMFORT PLUS 1.6 FLEX,2016,1
HILUX SW4 SRV D4-D 4X4 3.0 TDI,2012,2
24-280 E CONSTELLATION 6X2,2021,1
ETIOS PLATINUM 1.5 FLEX 16V 4P,2018,1
HILUX D4-D 4X4 2.5 16V TB D,2011,1
ARGO DRIVE 1.0 6V FLEX,2018,1
206 Presence 1.4 5p,2008,1
POLO HIGHLINE 200 TSI 1.0 FLEX,2020,1
RENEGADE1.8 4X2 FLEX 16V AUT(P,2016,1
Corsa Sed.Milenium 1.0,2001,1
POLO 1.6 MI TOTAL FLEX,2006,1
CROSSFOX 1.6 MI TOTAL FLEX,2013,1
STRADA ADVENTURE LOCKER 1.8 CD,2014,1
L 1620,2007,1
TECTOR 24-280 6X2 (DIESEL)(E5),2023,1
KWID ZEN 1.0 FLEX 12V 5P MEC.,2021,2
Kwid Intense Biton 1.0-2022/2023,2022,2
VIRTUS,2019,1
Strada Working 1.5 mpi 8v CS,2001,1
Focus Fastback SE PLUS 2.0 Flex Aut.,2015,1
COBALT 18 A LTZ,2017,1
FOX 1.0 MI TOTAL FLEX,2013,1
Duster Zen,2022,6
Fiorino Furg.1.3 Fire Flex,2009,1
IVECO-DAILY CHASSI 35S14 (E5),2018,1
D-20 Luxe 3.9 Turbo Diesel,1993,1
MONTANA LS 1.4 ECONOFLEX,2015,1
Fox Route 1.0 Mi Total Flex 8V 5p,2008,1
CORSA SEDAN 1.0 MPFI,2002,1
GRAND VITARA 2.0 16V,2015,1
Celta Life 1.0 MPFI 8v FlexPower 3p,2007,1
