modelo,fabricacao,quantidade
19-320 E Constellation Titan Tractor 2p,2007,1
FLUO 125 ABS,2022,1
SANDERO STEP. Intense Flex 1.6 16V  Aut.,2019,1
RENEGADE LONGITUDE 1.8 4X2 FLE,2021,1
208 Active 1.5,2013,1
Xsara Picasso Brasil 2.0 Mec,2004,1
CG 150 CARGO ESD FLEX,2014,1
Fiesta 1.6 16V Flex Mec. 5p,2013,1
HR 2.5 TCI Diesel (RS,2016,1
MT -09 TRACER,2016,1
Hilux CD 4x4 2.8 Diesel,2017,1
FIT LX 1.5 FLEXONE 16V,2014,1
HILUX 2.8 CD 4X4 D,2019,1
Sandero 1.6,2017,1
Speed Twin 1200cc,2019,1
Palio 1.0 Celebr. ECONOMY F.Flex 8V 4p,2009,1
STRADA VOLCANO 1.3 FLEX 8V CD,2020,1
YS 150 Fazer SED,2013,1
ARGO TREKKING 1.3 8V Flex,2022,1
Versys TOURER 650,2022,1
LOGAN EXPRES. AVANTAGE FLEX 1.,2018,1
GLK 220 CDI 2.2 TB 4X4 170cv Aut. Diesel,2015,1
Creta Attitude 1.6 16V Flex Aut.,2020,1
XC 60 T-5 INSCRIPTION 2.0 AWD,2018,1
JIMNY 4X4 1.3 16V,2021,1
207 Blue Lion 1.4 Flex 8V 5p,2012,1
Astra 2.0 8v 3p,2000,1
RANGER XLT 3.2 20V 4X4 CD DIES,2017,1
QQ 1.0 ACT 12V 68cv 5p,2014,1
HILUX CD SR 4X4 2.8 TDI DIESEL,2022,1
ULYSSES XB12X,2006,1
DR 800 S,1996,1
F 700 GS,2016,1
ROAD KING Classic,2008,1
Oroch Outsider 1.3 Turbo CVT,2022,1
COOPER S 2.0 Turbo 16V 5p Aut.,2015,1
KICKS S 1.6 16V FLEXSTAR MEC.,2019,1
Clio Authentique 1.0 Hi-Power 3p,2013,1
CB 500,2002,1
Renegade Sport 1.8 4x2 Flex 16V Aut.,2018,1
CRETA LIMITED EDITION 1.6 16V,2020,1
SANDERO Authentique Hi-Flex 1.0 16V 5p,2012,1
Civic Sedan EXS 1.8 Aut,2011,1
XTZ 125 E,2005,1
L-1418 3-Eixos 2p (diesel),1990,1
Frontier LE CD 4x4 2.3 Bi-TB Diesel Aut.,2017,1
ONIX SEDAN Plus LT 1.0 12V TB Flex Mec.,2020,1
Uno Mille SX 2p e 4p,1997,1
2500 LARAMIE SLT 6.7 TDI CD 4X,2019,1
UNO MILLE GRAZIE 1.0 FIRE FLEX,2013,1
ARRIZO 6 PRO 1.5 TURBO FLEX AU,2021,1
HB20 C. Style 1.6 Mec,2016,1
C3 EXCLUSIVE 1.6 16V FLEX,2012,1
PT Cruiser Classic 2.4 16V 143cv 4p,2006,1
CB 300R,2011,1
Classe A 160 Classic mec,2005,1
ETIOS XS 1.5 Flex 16V 5p Mec.,2017,1
Q3 2.0 16VTFSI Quattro 170cv S-tronic 5p,2014,1
GOL SPECIAL 1.0 TOTAL FLEX 8V,2015,1
NOVO GOL CITY 1.0 TOTAL FLEX,2013,1
Ka 1.0 SE TiVCT Flex 5p,2015,1
YARIS XL PLUS CON. 1.5 FLEX 16,2020,1
CITY Sedan LX 1.5 Flex 16V 4p Mec.,2010,1
ECOSPORT SE 1.5 12V FLEX 4P AU,2020,1
Gol (novo) 1.0 Mi Total Flex 8V 2p,2013,1
Uno Mille SX 2p e 4p,1996,1
Hilux CD SRV 4x4 2.8 TDI Diesel Aut.,2022,1
saveiro 1.6 cross,2016,1
L-1620 3-Eixos 2p (diesel),2001,1
C-180 CGI EXCLUSIVE 1.6 TB 16V,2017,1
Pampa GL 1.8,1993,1
SCORPIO 2.6 CD TB Diesel CRDe 4x4,2010,1
208 ALLURE 1.6 FLEX 16V   AUT.,2018,1
STRADA WORKING 1.4 MPI FIRE FL,2018,1
Towner Pick-up 1.0 8V 48cv 2p,2011,1
Golf GTi 350 TSI 2.0 230cv 16V Aut.,2019,1
207 Sed. Passion XR Sport 1.4 Flex 8V 4p,2009,1
Pajero DAKAR 3.2 4x4 T.I. Dies. 5p Aut.,2010,1
NXR 150 Bros ES,2006,1
A-20 Custom S 4.1,1989,1
Fit LXL 1.4 16V Aut,2008,1
Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2016,1
L-1620 3-Eixos 2p (diesel),1997,1
-BENZ/L 1620,2002,1
PALIO FIRE FLEX,2007,1
BONNEVILLE T 100,2014,1
11-180 DELIVERY 2P (DIESEL)(E5,2020,1
SAVEIRO ROBUST 1.6 TOTAL FLEX,2016,1
POLO,2020,1
MOBI EASY 1.0 FIRE FLEX,2017,1
BONGO K 2500 2.5 D,2021,1
NOVA SAVEIRO RB MBVS,2018,1
FIT DX 1.5 FLEXONE 16V,2016,1
PALIO WEEKEND ADVENTURE LOCKER,2009,1
Corsa Hat. Prem. 1.0,2005,1
Range R. EVOQUE SI4 HSE Dynamic 2.0 Aut.,2017,1
Hilux CD GR-S 4x4 2.8 TDI Dies. Aut.,2022,1
UP! TAKE 1.0 FLEX 12V,2016,1
HB20S EVOLUTION 1.0 TB FLEX 12,2021,1
FOX PEPPER 1.6 FLEX 16V,2017,1
SENTRA SV CVT,2018,1
COROLLA GLI 1.8 FLEX,2012,1
JETTA COMFORT. 250 TSI 1.4 FLE,2020,1
17-190 E Constellation 2p (diesel)(E5),2013,1
Doblo Adv 1.8,2009,1
EcoSport XLT 1.6,2007,1
Golf 2.0 Mi,2000,1
MULTISTRADA 1260 S,2020,1
STRADA ADVENTURE 1.8 FLEX CE 1,2009,1
LOGAN SEDAN EXPRESSION 1.6 16V,2011,1
Mirage 650 V2power,2010,1
APACHE RTR 200cc,2019,1
DAYTONA 675i,2008,1
Hilux CD SR 4x2 2.7 16V Flex aut,2009,1
T115 CRYPTON K,2014,1
OUTLANDER 3.0 aut,2008,1
CG 150 TITAN-EX MIX Flex,2014,1
GSX-R 1000,2007,1
Boxer 2.8 15L,2004,1
CELTA LIFE 1.0 MPFI FLEXPOWER,2006,1
CBR 500R,2014,1
Fit LX 1.4 Mec,2007,1
Corolla XEi 1.8 Flex mec,2001,1
FAT BOB FXDF,2015,1
Civic Sed. LXL 1.8 Flex 16V Aut,2010,1
CG 125 FAN,2018,1
SAVEIRO 1.6 MI TOTAL FLEX CE,2011,1
CG 150 TITAN-EX MIX,2009,1
RAV 4 4X4 2.0 16V,2014,1
Kangoo RN Expression 1.6,2006,1
GLC-43 AMG COUPE 3.0 V6 BI-TB,2017,1
OPTIMA 2.0 16V 165cv Aut.,2015,1
PEOPLE GT 300i,2019,1
CARGO 2429 E 6x2 Turbo 2p (diesel)(E5),2014,1
Idea ELX 1.4 mpi Fire Flex 8V 5p,2010,1
Dart,1977,1
HB20X Style 1.6 Flex 16v Mec.,2015,1
DUSTER Expression 1.6 Hi-Flex 16V Mec.,2017,1
SPIN LT 1.8 8V ECONO.FLEX 5P A,2020,1
LIVINA SL 1.8 16V FLEX,2012,1
NK 150,2022,1
R 1250 GS Premium Triple Black,2023,1
Up! move 1.0 TSI Total Flex 12V 5p,2018,1
MT-09 850cc,2017,1
UP,2014,1
VOYAGE 1.0 FLEX 12V 4P,2019,1
18-310 2p (diesel),2002,1
T-4 4x4 3.0 TB Int. Cap. Rígida Diesel,2007,1
FOCUS HATCH 1.6 MPI,2015,1
SAVEIRO CABINE SIMPLES ST MB,2014,1
FOX 1.6 HIGHLINE I-MOTION FLEX,2010,1
MONTANA LS 1.4 ECONOFLEX,2011,1
Lancer GT 2.0 16V 160cv Aut.,2012,1
BOULEVARD M800R,2014,1
FOX TRENDLINE 1.0 FLEX 12V 4P,2015,1
F-150 Raptor,2010,1
S10 PICK-UP LT 2.8 TDI 4X4 CD,2012,1
DL 1000 V-Strom,2014,1
Toro Ranch 2.0 16V 4x4 Diesel Aut.,2021,1
R-440 A 6x2 3-Eixos 2p(dies.) (E5),2014,1
ZIG 100+,2012,1
CITY SEDAN EXL 1.5 FLEX  16V 4,2014,1
Camry XLE 3.5 24V Aut.,2013,1
TIGUAN ALLSPACE COMF 250 TSI 1,2020,1
HB20  1.6 A Confort,2016,1
F-1000 S. S. Diesel,1991,1
Citycom S 300i,2016,1
TT 2.0 16v TFSI S-Tronic,2016,1
Celta 1.0 MPFI VHC 8v 3p,2001,1
COOPER 1.6 Aut.,2009,1
MT-03 321,2019,1
YBR 150 FACTOR E,2018,1
YS 150 Fazer SED,2015,1
FIORINO FURGAO EVO 1.4 FLEX 8V,2014,1
AZERA GLS 3.3 V6 24V 4p Aut.,2009,1
Golf GTi 2.0 TSI 220cv Aut.,2017,1
MT-07 ABS 689cc,2020,1
KA 1.5 SE 12V FLEX 4P MEC,2019,1
F 800 GS Adventure,2017,1
8-150 E DELIVERY 2p (diesel),2007,1
CB 500X,2015,1
Corsa Hat. Maxx 1.4 8V ECONOFLEX 5p,2010,1
Fiesta 1.6 16V Flex Mec. 5p,2015,1
SANDERO Authentique Hi-Power 1.0 16V 5p,2016,1
MT-09 TRACER 900 GT,2022,1
C 100 BIZ,2005,1
COURIER 1.6 L FLEX,2010,1
COMPASS LIMITED T270 1.3 TB 4X,2021,1
SOFTAIL FXDR 114,2019,1
RENEGADE SPORT 1.8 4X2 FLEX 16,2021,1
X5 XDRIVE 50i 4.4 407cv Bi-Turbo,2011,1
ECOSPORT FREESTYLE 1.5 12V FLE,2019,1
HR 2.5 TCI Diesel (RD,2016,1
FIT EX/S/EX 1.5 FLEX/FLEXONE 1,2012,1
KA 1.5 FREESTYLE 12V FLEX 4P A,2019,1
KA 1.5 SE 12V FLEX 4P AUT,2019,1
MARCH S 1.6 16V Flex Fuel 5p,2011,1
Atego 1418 2p (diesel),2006,1
Celta Spirit 1.4 MPFI 8V 85cv 3p,2005,1
NINJA 300,2016,1
Uno Mille 1.0 Economy 4p,2010,1
FH 440 GLOBETROTTER 6x4 2p (diesel),2010,1
XTZ 250 LANDER 249cc,2016,1
KICKS S 1.6 16V FLEX 5P AUT.,2017,1
NH-12 380 4X2 2p (diesel),1999,1
Frontier SV ATTACK CD 4x2 2.5 TB Diesel,2013,1
HB20S C.Plus 1.6 16V Mec,2016,1
TOUAREG 3.6 24V V6 280cv Tiptronic 5p,2007,1
ASX 2.0 16V 4X4 FLEX AUT.,2017,1
XL 1200X FORTY EIGHT Sportster,2017,1
208 LIKE CA MT,2021,1
BOULEVARD C1500,2006,1
Polo 1.6 MSI Flex 16V 5p,2021,1
Creta Pulse 1.6 16V Flex Aut.,2017,1
ONIX HATCH LT 1.0 12V FLEX 5P MEC.,2022,1
Z 650,2018,1
HB20 10 M VISION,2021,1
Civic Sedan EX 2.0 Flex 16V Aut.4p,2016,1
YARIS XL 1.5 FLEX 16V 5P AUT.,2023,1
CORSA HATCH JOY 1.0 MPFI,2007,1
COROLLA ALTIS 2.0 FLEX,2019,1
HILUX SRV D4-D 3.0 CD 4X4 TB D,2010,1
DISCOVERY SPORT SE 2.0 4X4 AUT,2015,1
HB20S Comfort Plus 1.6 Flex 16V Aut. 4p,2016,1
Meriva Joy 1.8 MPFI 8V FlexPower,2007,1
GOL SPECIAL 1.0 MI ( GER.III ),2002,1
Versa unique 1.6,2016,1
8.150 E DELIVERY,2009,1
up move mdv,2017,1
X5 XDRIVE 35i 3.0 306cv Bi-Turbo,2013,1
Hilux CD 4x4 2.8 Diesel,2018,1
FH-12 420 6x2 2p (diesel),2006,1
CBR 650F,2014,1
206 SW Feline 1.6,2005,1
Fiesta 1.6 8V Flex 5p,2012,1
BANDIT N-650,2010,1
ONIX SEDAN PLUS LT 1.0 12V 4p Mec.,2021,1
C-200 CGI Avantgarde 1.8 16V 184cv Aut.,2013,1
Classe B 180 1.7 116cv Aut.,2009,1
LOGAN DYNAMIQUE FLEX 1.6 16V 5,2016,1
Bongo K-2500 2.5 4x2 TB Diesel,2019,1
T-CROSS 1.0 TSI FLEX 12V 5P AU,2022,1
GRAND LIVINA 1.8 16V FLEX,2009,1
factor 150,2020,1
LOGAN EXPRES. AVANTAGE FLEX 1.,2017,1
2726 6x4 2p (diesel),2008,1
SENTRA,2018,1
MT-07,2016,1
PULSE ABARTH 1.3 TURBO 16V FLE,2023,1
T-113 H 360 4x2 2p (diesel),1994,1
MULTISTRADA 1260,2018,1
Strada Working 1.4 mpi Fire Flex 8V CE,2013,1
CB 450 DX,1991,1
G-380 A 4x2 2p (diesel),2011,1
TRX 420 Fourtrax  TM 4x2 Quadriciclo,2015,1
Renegade Sport 1.8 4x2 Flex 16V Aut.,2017,1
X3 XDRIVE 30I X-LINE 2.0 TURBO,2018,1
Ignis 1.3 16V 82cv 4p Aut.,2002,1
STRADA ENDURANCE CS,2020,1
HB20 Premium 1.6 Flex 16V Aut.,2018,1
Ranger XLS 2.2 4x4 CD Diesel Mec.,2015,1
XTZ 750 S TENERE,1993,1
Renegade 75 Anos 2.0 4X4 TB Diesel Aut.,2016,1
Hilux CD SRV D4-D 4x4 3.0  TDI Dies,2009,1
TORO RANCH AT9 4X4,2021,1
RANGER XLT 3.2 20V 4X4 CD DIES,2018,1
LOGAN Expression Hi-Flex 1.6 16V 4p Aut,2011,1
Frontier LE CD 4x4 2.3 Bi-TB Diesel Aut.,2018,1
Uno Mille 1.0 Economy 2.p,2011,1
Focus 2.0 16V,2009,1
C 100 BIZ+,2004,1
