seguradora_id,data_proposta,data_finalizada,modelo,fabricante,fabricacao,ano_modelo,case
2,2023-08-01,2023-08-01,Corsa Wind 1.0 EFI 2p,GM - Chevrolet,1996,1997,Aprovado
2,2023-08-01,2023-08-01,CG 150 Start FLEXone,Honda,2015,2015,Aprovado
2,2023-08-01,2023-08-01,CG 150 FAN ESi,Honda,2010,2010,Aprovado
53,2023-08-01,2023-08-01,"","","","",Aprovado
2,2023-08-01,2023-08-01,CG 150 TITAN-KS,Honda,2007,2008,Aprovado
2,2023-08-01,2023-08-01,POP 110i,Honda,2021,2021,Aprovado
2,2023-08-01,2023-08-01,CG 125 FAN ESD,Honda,2014,2015,Aprovado
2,2023-07-31,2023-08-01,XT 600 E,YAMAHA,1993,1993,Aprovado
2,2023-07-31,2023-08-01,DYNA SUPER GLIDE CUSTOM,HARLEY-DAVIDSON,2011,2011,Reprovado
2,2023-07-31,2023-08-01,YBR 150 FACTOR ED,YAMAHA,2019,2020,Aprovado
2,2023-07-31,2023-08-01,YBR 150 FACTOR ED,YAMAHA,2022,2023,Aprovado
2,2023-07-31,2023-08-01,AGILE LTZ 1.4 MPFI 8V FlexPower 5p,GM - Chevrolet,2012,2013,Aprovado
2,2023-07-31,2023-08-01,Himalayan 411 EFI,Royal Enfield,2021,2022,Aprovado
2,2023-07-31,2023-08-01,ER-6n 650cc,KAWASAKI,2011,2011,Aprovado
2,2023-07-31,2023-07-31,CG 150 FAN ESDi,Honda,2012,2012,Aprovado
2,2023-07-31,2023-08-01,CG 125 FAN,Honda,2007,2008,Aprovado
61,2023-07-31,2023-08-01,"","","","",Aprovado
2,2023-07-31,2023-08-01,CBX 250 TWISTER,Honda,2007,2007,Aprovado
2,2023-07-31,2023-08-01,CG 150 FAN ESDi,Honda,2013,2013,Aprovado
2,2023-07-31,2023-08-01,CG 150 TITAN-ES MIX,Honda,2009,2009,Aprovado
61,2023-07-31,2023-08-01,"","","","",Aprovado
2,2023-07-31,2023-07-31,CG 125 FAN KS,Honda,2011,2012,Aprovado
2,2023-07-31,2023-08-01,YBR 150 FACTOR ED,YAMAHA,2023,2023,Aprovado
61,2023-07-31,2023-08-01,"","","","",Aprovado
2,2023-07-31,2023-08-01,FOX Trendline 1.0 Flex 12V 5p,VW - VolksWagen,2016,2016,Aprovado
2,2023-07-31,2023-08-01,CB 500X,Honda,2020,2021,Aprovado
61,2023-07-31,2023-08-01,"","","","",Aprovado
2,2023-07-31,2023-08-01,G 310 GS,BMW,2018,2019,Aprovado
73,2023-07-31,2023-07-31,"","","","",Aprovado
2,2023-07-31,2023-08-01,YBR 125 FACTOR ED,YAMAHA,2010,2010,Aprovado
2,2023-07-31,2023-08-01,C-180 1.6 Turbo 16V 156cv Aut.,Mercedes-Benz,2014,2015,Aprovado
2,2023-07-31,2023-08-01,ELITE 125,Honda,2022,2022,Aprovado
2,2023-07-31,2023-08-01,CG 150 TITAN-ESD MIX Flex,Honda,2012,2013,Aprovado
2,2023-07-31,2023-07-31,CG 125 FAN,Honda,2008,2008,Aprovado
61,2023-07-31,2023-08-01,"","","","",Aprovado
2,2023-07-31,2023-08-01,FZ15 150 FAZER FLEX,YAMAHA,2023,2023,Aprovado
2,2023-07-31,2023-08-01,CG 160 FAN Flex,Honda,2021,2021,Aprovado
53,2023-07-31,2023-07-31,"","","","",Aprovado
2,2023-07-31,2023-08-01,206 Presence 1.4 3p,Peugeot,2006,2006,Aprovado
2,2023-07-31,2023-08-01,CG 125 CARGO,Honda,2018,2018,Aprovado
2,2023-07-31,2023-08-01,PCX 150,Honda,2015,2015,Aprovado
2,2023-07-31,2023-08-01,POP 110i,Honda,2020,2021,Aprovado
2,2023-07-31,2023-07-31,CG 150 FAN Esi Flex,Honda,2011,2011,Aprovado
2,2023-07-31,2023-08-01,XTZ 150 CROSSER Z FLEX,YAMAHA,2019,2019,Aprovado
73,2023-07-31,2023-07-31,"","","","",Reprovado
2,2023-07-31,2023-08-01,CG 160 TITAN FLEXone,Honda,2023,2023,Aprovado
2,2023-07-31,2023-08-01,T-142 HW 450 4x2 2p (diesel),SAAB-SCANIA,1991,1991,Aprovado
67,2023-07-31,2023-08-01,"","","","",Aprovado
2,2023-07-31,2023-08-01,CG 160 FAN Flex,Honda,2022,2023,Aprovado
2,2023-07-31,2023-07-31,Del Rey L 1.6,Ford,1988,1988,Aprovado
2,2023-07-31,2023-08-01,ADV 150,Honda,2021,2021,Aprovado
105,2023-07-31,2023-07-31,LEAF,NISSAN,2023,2023,Aprovado
2,2023-07-31,2023-08-01,Golf Comfortline 1.4 TSI 140cv Aut.,VW - VolksWagen,2014,2015,Aprovado
2,2023-07-31,2023-08-01,NINJA 400,KAWASAKI,2023,2023,Aprovado
2,2023-07-31,2023-08-01,CG 160 TITAN FLEXone,Honda,2022,2022,Aprovado
2,2023-07-31,2023-08-01,Citycom S 300i,DAFRA,2016,2017,Aprovado
2,2023-07-31,2023-08-01,FZ15 150 FAZER FLEX,YAMAHA,2023,2024,Aprovado
2,2023-07-31,2023-08-01,CG 160 FAN Flex,Honda,2022,2022,Aprovado
2,2023-07-31,2023-07-31,CB 300R,Honda,2011,2011,Aprovado
2,2023-07-31,2023-08-01,VIRTUS Comfort. 200 TSI 1.0 Flex 12V Aut,VW - VolksWagen,2021,2022,Aprovado
2,2023-07-31,2023-07-31,GSR 750,Suzuki,2015,2016,Aprovado
2,2023-07-31,2023-07-31,CG 150 CARGO ESD FLEX,Honda,2013,2013,Aprovado
2,2023-07-31,2023-07-31,YS 150 Fazer ED,YAMAHA,2013,2014,Aprovado
2,2023-07-31,2023-08-01,YS 150 Fazer SED,YAMAHA,2023,2024,Aprovado
2,2023-07-31,2023-08-01,ONIX HATCH LT 1.0 8V FlexPower 5p Mec.,GM - Chevrolet,2016,2016,Aprovado
2,2023-07-31,2023-08-01,Punto ATTRACTIVE 1.4 Fire Flex 8V 5p,Fiat,2011,2011,Aprovado
61,2023-07-31,2023-08-01,"","","","",Aprovado
2,2023-07-31,2023-08-01,MT-09 850cc,YAMAHA,2019,2020,Aprovado
2,2023-07-31,2023-08-01,XRE 190,Honda,2023,2023,Aprovado
61,2023-07-31,2023-07-31,"","","","",Aprovado
2,2023-07-31,2023-08-01,F 850 GS Adventure Premium,BMW,2019,2020,Aprovado
2,2023-07-31,2023-08-01,XTZ 250 LANDER 249cc,YAMAHA,2022,2023,Aprovado
2,2023-07-31,2023-08-01,MONTANA  Sport 1.8 MPFI FlexPower 8V,GM - Chevrolet,2004,2005,Aprovado
2,2023-07-31,2023-08-01,Strada Adventure 1.8 Flex  CE,Fiat,2010,2011,Aprovado
2,2023-07-31,2023-08-01,Hilux CD SR D4-D 4x4 3.0  TDI Dies.,Toyota,2006,2006,Aprovado
2,2023-07-31,2023-07-31,NC 750X,Honda,2020,2020,Aprovado
2,2023-07-31,2023-08-01,MONTANA 1.8,GM - Chevrolet,2006,2007,Reprovado
2,2023-07-31,2023-08-01,CG 160 FAN Flex,Honda,2019,2020,Aprovado
53,2023-07-31,2023-07-31,"","","","",Aprovado
59,2023-07-31,2023-07-31,CRUZE LT NB,CHEVROLET,2013,2014,Reprovado
61,2023-07-31,2023-07-31,"","","","",Aprovado
2,2023-07-31,2023-08-01,BIZ 125 EX Flex,Honda,2015,2015,Aprovado
2,2023-07-31,2023-08-01,CG 160 Start,Honda,2020,2021,Aprovado
61,2023-07-31,2023-07-31,"","","","",Aprovado
2,2023-07-31,2023-08-01,CG 160 TITAN FLEXone,Honda,2015,2016,Aprovado
53,2023-07-31,2023-07-31,"","","","",Aprovado
2,2023-07-31,2023-08-01,Cerato 1.6 16V  Flex  Aut.,Kia Motors,2013,2014,Aprovado
2,2023-07-31,2023-08-01,Gol CLi  1.6,VW - VolksWagen,1995,1995,Aprovado
2,2023-07-31,2023-08-01,ASX 2.0 16V 4x4 160cv Aut.,Mitsubishi,2012,2013,Aprovado
61,2023-07-31,2023-07-31,"","","","",Aprovado
2,2023-07-31,2023-08-01,MT-03 ABS,YAMAHA,2017,2018,Aprovado
2,2023-07-31,2023-08-01,PCX 150,Honda,2021,2021,Aprovado
2,2023-07-31,2023-07-31,CB 500X,Honda,2022,2023,Aprovado
2,2023-07-31,2023-08-01,Hilux CD SRV D4-D 4x4 3.0 TDI Diesel Aut,Toyota,2006,2007,Aprovado
2,2023-07-31,2023-08-01,PCX 150 DLX,Honda,2022,2022,Aprovado
2,2023-07-31,2023-08-01,T 310,Zontes,2023,2024,Aprovado
2,2023-07-31,2023-07-31,YBR 125 FACTOR ED,YAMAHA,2014,2014,Aprovado
2,2023-07-31,2023-08-01,YBR 125i FACTOR ED,YAMAHA,2022,2023,Aprovado
61,2023-07-31,2023-08-01,"","","","",Aprovado
2,2023-07-31,2023-07-31,YS 250 FAZER,YAMAHA,2007,2008,Aprovado
2,2023-07-31,2023-07-31,BIZ 125 ES,Honda,2011,2012,Aprovado
2,2023-07-31,2023-08-01,CG 160 FAN Flex,Honda,2023,2023,Aprovado
2,2023-07-31,2023-08-01,CG 160 TITAN FLEXone,Honda,2023,2023,Aprovado
2,2023-07-31,2023-08-01,CG 150 FAN ESDi,Honda,2014,2014,Aprovado
